original_title,budget,runtime,original_language,release_date
Toy Story,30000000,81.0,en,1995-10-30
Jumanji,65000000,104.0,en,1995-12-15
Grumpier Old Men,0,101.0,en,1995-12-22
Waiting to Exhale,16000000,127.0,en,1995-12-22
Father of the Bride Part II,0,106.0,en,1995-02-10
Heat,60000000,170.0,en,1995-12-15
Sabrina,58000000,127.0,en,1995-12-15
Tom and Huck,0,97.0,en,1995-12-22
Sudden Death,35000000,106.0,en,1995-12-22
GoldenEye,58000000,130.0,en,1995-11-16
The American President,62000000,106.0,en,1995-11-17
Dracula: Dead and Loving It,0,88.0,en,1995-12-22
Balto,0,78.0,en,1995-12-22
Nixon,44000000,192.0,en,1995-12-22
Cutthroat Island,98000000,119.0,en,1995-12-22
Casino,52000000,178.0,en,1995-11-22
Sense and Sensibility,16500000,136.0,en,1995-12-13
Four Rooms,4000000,98.0,en,1995-12-09
Ace Ventura: When Nature Calls,30000000,90.0,en,1995-11-10
Money Train,60000000,103.0,en,1995-11-21
Get Shorty,30250000,105.0,en,1995-10-20
Copycat,0,124.0,en,1995-10-27
Assassins,50000000,132.0,en,1995-10-06
Powder,0,111.0,en,1995-10-27
Leaving Las Vegas,3600000,112.0,en,1995-10-27
Othello,0,123.0,en,1995-12-15
Now and Then,12000000,100.0,en,1995-10-20
Persuasion,0,104.0,en,1995-09-27
La Cité des Enfants Perdus,18000000,108.0,fr,1995-05-16
Dangerous Minds,0,99.0,en,1995-08-11
Twelve Monkeys,29500000,129.0,en,1995-12-29
Babe,30000000,89.0,en,1995-07-18
Carrington,0,121.0,en,1995-11-08
Dead Man Walking,11000000,122.0,en,1995-12-29
Across the Sea of Time,0,51.0,en,1995-10-20
It Takes Two,0,101.0,en,1995-11-17
Clueless,12000000,97.0,en,1995-07-19
Richard III,0,104.0,en,1995-12-29
Dead Presidents,10000000,119.0,en,1995-10-06
Restoration,19000000,117.0,en,1995-12-29
Mortal Kombat,18000000,101.0,en,1995-08-18
To Die For,20000000,106.0,en,1995-05-20
How To Make An American Quilt,10000000,116.0,en,1995-10-06
Se7en,33000000,127.0,en,1995-09-22
Pocahontas,55000000,81.0,en,1995-06-14
When Night Is Falling,0,96.0,en,1995-05-05
The Usual Suspects,6000000,106.0,en,1995-07-19
Guardian Angel,0,93.0,en,1994-11-22
Mighty Aphrodite,15000000,95.0,en,1995-09-13
Lamerica,0,116.0,it,1994-01-01
The Big Green,0,100.0,en,1995-09-29
Georgia,0,115.0,en,1995-05-19
Kids of the Round Table,0,89.0,en,1997-07-08
Home for the Holidays,0,103.0,en,1995-11-02
Il postino,0,108.0,it,1994-09-22
Le confessionnal,0,100.0,fr,1995-09-29
The Indian in the Cupboard,45000000,96.0,en,1995-07-14
Eye for an Eye,20000000,101.0,en,1996-01-12
Mr. Holland's Opus,0,137.0,en,1995-12-29
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,89.0,en,1996-01-12
Two If by Sea,0,96.0,en,1996-01-12
Bio-Dome,15000000,88.0,en,1996-01-12
Lawnmower Man 2: Beyond Cyberspace,0,92.0,en,1996-01-12
Two Bits,0,85.0,en,1995-10-22
Gazon maudit,0,95.0,fr,1995-02-08
Friday,3500000,91.0,en,1995-04-26
From Dusk Till Dawn,19000000,108.0,en,1996-01-19
Fair Game,50000000,91.0,en,1995-11-03
Kicking and Screaming,0,96.0,en,1995-10-06
Les misérables,0,175.0,fr,1995-03-22
Bed of Roses,0,87.0,en,1996-01-26
Big Bully,15000000,90.0,en,1996-01-26
Screamers,20000000,108.0,en,1995-09-08
Nico Icon,0,70.0,en,1995-02-18
The Crossing Guard,0,111.0,en,1995-11-15
The Juror,44000000,118.0,en,1996-02-02
Things to Do in Denver When You're Dead,8000000,116.0,en,1995-12-01
Antonia,900000,102.0,nl,1995-09-12
Once Upon a Time... When We Were Colored,0,115.0,en,1996-01-26
Last Summer in the Hamptons,0,108.0,en,1995-11-22
Angels and Insects,0,118.0,en,1995-09-10
White Squall,38000000,129.0,en,1996-02-02
Dunston Checks In,16000000,88.0,en,1996-01-12
Black Sheep,0,87.0,en,1996-02-01
Nick of Time,8169363,90.0,en,1995-11-22
The Journey of August King,0,91.0,en,1995-09-14
Mary Reilly,47000000,104.0,en,1996-02-23
Vampire in Brooklyn,14000000,100.0,en,1995-10-26
Beautiful Girls,0,112.0,en,1996-02-09
Broken Arrow,50000000,108.0,en,1996-02-09
A Midwinter's Tale,0,99.0,en,1995-12-01
La Haine,3000000,98.0,fr,1995-05-31
Shopping,0,105.0,en,1994-12-06
Heidi Fleiss: Hollywood Madam,0,106.0,en,1995-12-27
City Hall,0,111.0,en,1996-02-16
Bottle Rocket,7000000,91.0,en,1996-02-21
Mr. Wrong,0,96.0,en,1996-02-16
Unforgettable,18000000,106.0,en,1996-02-23
Happy Gilmore,12000000,92.0,en,1996-02-16
The Bridges of Madison County,24000000,135.0,en,1995-05-28
Keiner liebt mich,0,104.0,de,1994-11-07
Muppet Treasure Island,0,100.0,en,1996-02-16
Catwalk,0,95.0,en,1995-12-08
Headless Body in Topless Bar,0,110.0,en,1995-05-20
Braveheart,72000000,177.0,en,1995-05-24
Taxi Driver,1300000,114.0,en,1976-02-07
Before and After,35000000,108.0,en,1996-02-23
Margaret's Museum,0,114.0,en,1995-09-13
Le Bonheur est dans le pré,13365000,106.0,en,1995-01-31
Anne Frank Remembered,0,117.0,en,1995-06-08
The Young Poisoner's Handbook,0,99.0,en,1995-01-20
If Lucy Fell,0,92.0,en,1996-03-08
Steal Big Steal Little,25000000,113.0,en,1995-09-29
Race the Sun,0,100.0,en,1996-03-22
The Boys of St. Vincent,0,90.0,en,1992-12-06
Boomerang,40000000,117.0,en,1992-06-30
Flirting with Disaster,7000000,92.0,en,1996-03-22
The NeverEnding Story III,17000000,95.0,en,1994-10-26
صمت القصور,0,116.0,ar,1994-09-30
Pie in the Sky,0,95.0,en,1996-02-09
Angela,0,99.0,en,1995-01-01
Frankie Starlight,0,101.0,it,1995-11-22
Jade,50000000,95.0,en,1995-10-13
Nueba Yol,0,102.0,es,1995-08-16
Sonic Outlaws,0,87.0,en,1995-08-01
Down Periscope,0,92.0,en,1996-03-01
From the Journals of Jean Seberg,0,97.0,en,1995-09-08
Man of the Year,0,86.0,en,1995-09-15
The Neon Bible,0,91.0,en,1995-08-23
Target,0,122.0,en,1995-08-01
Up Close & Personal,60000000,119.0,en,1996-03-01
The Birdcage,31000000,117.0,en,1996-03-08
Gospa,0,125.0,en,1995-10-12
The Brothers McMullen,0,98.0,en,1995-08-09
Bad Boys,19000000,118.0,en,1995-04-07
The Amazing Panda Adventure,0,81.0,en,1995-08-25
The Basketball Diaries,0,102.0,en,1995-04-21
An Awfully Big Adventure,4000000,113.0,en,1995-07-21
Amateur,0,105.0,en,1994-08-05
Apollo 13,52000000,140.0,en,1995-06-30
Rob Roy,28000000,139.0,en,1995-04-13
The Addiction,0,82.0,en,1995-01-10
Batman Forever,100000000,121.0,en,1995-06-16
Belle de jour,0,101.0,fr,1967-05-24
Beyond Rangoon,0,100.0,en,1995-05-24
Blue in the Face,2000000,83.0,en,1995-09-15
Canadian Bacon,11000000,91.0,en,1995-06-08
Casper,50000000,100.0,en,1995-05-26
Clockers,25000000,128.0,en,1995-09-15
Congo,50000000,109.0,en,1995-06-09
Crimson Tide,53000000,116.0,en,1995-05-12
Crumb,0,119.0,en,1994-09-10
Desperado,7000000,104.0,en,1995-08-25
Devil in a Blue Dress,27000000,102.0,en,1995-09-15
Die Hard: With a Vengeance,90000000,128.0,en,1995-05-19
The Doom Generation,0,80.0,en,1995-10-27
Feast of July,0,116.0,en,1995-10-12
First Knight,55000000,134.0,en,1995-07-07
Free Willy 2 - The Adventure Home,0,95.0,en,1995-07-19
Hackers,20000000,107.0,en,1995-09-14
Jeffrey,0,92.0,en,1995-08-18
Johnny Mnemonic,25000000,97.0,en,1995-05-26
Judge Dredd,90000000,96.0,en,1995-06-30
Jury Duty,0,88.0,en,1995-04-12
Kids,1500000,91.0,en,1995-07-28
Living in Oblivion,500000,89.0,en,1995-01-20
Lord of Illusions,0,119.0,en,1995-08-25
Love & Human Remains,0,100.0,en,1993-05-20
Mad Love,0,95.0,en,1995-05-26
Mallrats,6000000,94.0,en,1995-10-20
Mighty Morphin Power Rangers: The Movie,15000000,92.0,en,1995-06-30
Moonlight and Valentino,0,100.0,en,1995-09-29
Mute Witness,2,95.0,en,1995-09-28
Nadja,0,93.0,en,1994-09-13
The Net,22000000,114.0,en,1995-07-28
Nine Months,0,103.0,en,1995-07-12
Party Girl,150000,94.0,en,1995-06-09
The Prophecy,8,98.0,en,1995-09-01
Reckless,0,91.0,en,1995-11-17
Safe,0,119.0,en,1995-06-23
The Scarlet Letter,50000000,135.0,en,1995-10-13
The Show,0,93.0,en,1995-08-25
Showgirls,45000000,128.0,en,1995-09-22
Smoke,7000000,112.0,en,1995-06-09
Something to Talk About,0,106.0,en,1995-08-04
Species,35000000,108.0,en,1995-07-07
The Stars Fell on Henrietta,0,109.0,en,1995-09-15
Strange Days,42000000,145.0,en,1995-10-13
Les parapluies de Cherbourg,0,91.0,fr,1964-02-19
The Tie That Binds,14000000,99.0,en,1995-09-08
Three Wishes,0,115.0,en,1995-10-27
Total Eclipse,0,111.0,en,1995-11-02
"To Wong Foo Thanks for Everything! Julie Newmar",0,105.0,en,1995-09-07
Under Siege 2: Dark Territory,60000000,100.0,en,1995-07-13
Unstrung Heroes,0,93.0,en,1995-09-15
Unzipped,0,73.0,en,1995-08-11
A Walk in the Clouds,20000000,103.0,en,1995-08-11
Waterworld,175000000,135.0,en,1995-07-28
White Man's Burden,8000000,89.0,en,1995-12-01
Wild Bill,30000000,98.0,en,1995-12-01
The Browning Version,0,97.0,en,1994-10-12
Bushwhacked,0,90.0,en,1995-08-04
Before the Rain,0,113.0,en,1994-06-09
Before Sunrise,2500000,105.0,en,1995-01-27
Billy Madison,10000000,89.0,en,1995-02-10
The Babysitter,0,90.0,en,1995-10-17
Boys on the Side,21000000,115.0,en,1995-02-03
The Cure,0,97.0,en,1995-04-21
Castle Freak,0,95.0,en,1995-08-04
Circle of Friends,0,103.0,en,1995-03-16
Clerks,27000,92.0,en,1994-09-13
Don Juan DeMarco,25000000,97.0,en,1994-10-01
Disclosure,55000000,123.0,en,1994-12-09
Dream Man,0,0.0,en,1995-01-01
Drop Zone,45000000,101.0,en,1994-12-08
Destiny Turns on the Radio,0,0.0,it,1995-04-28
Death and the Maiden,0,103.0,en,1994-05-04
Dolores Claiborne,0,132.0,en,1995-03-24
Dumb and Dumber,16000000,107.0,en,1994-12-16
飲食男女,0,123.0,zh,1994-08-03
Exotica,0,103.0,en,1994-09-24
Exit to Eden,0,113.0,en,1994-10-14
Ed Wood,18000000,127.0,en,1994-09-27
French Kiss,0,111.0,en,1995-05-05
Forget Paris,0,101.0,en,1995-05-19
Far from Home: The Adventures of Yellow Dog,0,87.0,en,1995-01-13
A Goofy Movie,0,78.0,en,1995-04-07
Hideaway,15000000,103.0,en,1995-03-03
Fluke,0,96.0,en,1995-06-02
Farinelli,0,111.0,fr,1994-12-07
Gordy,0,90.0,en,1995-05-12
Gumby: The Movie,0,77.0,en,1995-12-01
The Glass Shield,0,109.0,en,1994-09-16
Hoop Dreams,700000,171.0,en,1994-09-12
Heavenly Creatures,5000000,99.0,en,1994-09-02
Houseguest,10500000,113.0,en,1995-01-06
Immortal Beloved,120,121.0,en,1994-12-16
Heavyweights,0,100.0,en,1995-02-17
The Hunted,0,106.0,en,1995-02-24
I.Q.,25000000,100.0,en,1994-12-24
Interview with the Vampire,60000000,123.0,en,1994-11-11
Jefferson in Paris,14000000,139.0,en,1995-03-31
The Jerky Boys,0,82.0,en,1995-02-03
Junior,60000000,109.0,en,1994-11-22
Just Cause,0,102.0,en,1995-02-17
A Kid in King Arthur's Court,0,89.0,en,1995-08-11
Kiss of Death,40000000,101.0,en,1995-04-21
Star Wars,11000000,121.0,en,1977-05-25
Little Women,18000000,115.0,en,1994-12-21
A Little Princess,17000000,97.0,en,1995-05-10
Ladybird Ladybird,0,101.0,en,1994-02-18
L'Enfer,10000000,100.0,fr,1994-02-16
Como agua para chocolate,2000000,105.0,es,1992-04-16
Legends of the Fall,30000000,133.0,en,1994-12-16
Major Payne,0,95.0,en,1995-03-24
Little Odessa,0,98.0,en,1994-10-27
Mi Vida Loca,0,92.0,en,1994-06-08
Love Affair,60000000,108.0,en,1994-10-21
Losing Isaiah,17000000,106.0,en,1995-03-17
The Madness of King George,0,107.0,en,1994-12-28
Frankenstein,45000000,123.0,en,1994-11-04
Man of the House,0,96.0,en,1995-03-03
Mixed Nuts,15000000,97.0,en,1994-12-21
Milk Money,0,108.0,en,1994-08-31
Miracle on 34th Street,0,114.0,en,1994-11-18
Miami Rhapsody,6,95.0,en,1995-01-27
My Family,5500000,128.0,en,1995-05-03
Murder in the First,0,122.0,en,1995-01-20
Nobody's Fool,0,110.0,en,1994-12-23
Nell,31000000,112.0,en,1994-12-23
New Jersey Drive,0,98.0,en,1995-04-19
New York Cop,0,93.0,en,1993-08-14
Beyond Bedlam,4800000,89.0,en,1994-04-22
Nemesis 2 - Nebula,0,83.0,en,1995-09-26
Nina Takes a Lover,0,100.0,en,1995-03-03
Natural Born Killers,34000000,119.0,en,1994-08-25
Only You,0,115.0,en,1994-09-17
Once Were Warriors,0,99.0,en,1994-09-02
Poison Ivy II: Lily,0,106.0,en,1996-01-16
Outbreak,50000000,127.0,en,1995-03-10
Léon,16000000,110.0,fr,1994-09-14
The Perez Family,11000000,113.0,en,1995-05-12
A Pyromaniac's Love Story,0,94.0,en,1995-04-28
Pulp Fiction,8000000,154.0,en,1994-09-10
Panther,0,124.0,en,1995-11-10
Pushing Hands,400000,105.0,zh,1992-02-01
Priest,0,98.0,en,1994-01-01
Quiz Show,0,133.0,en,1994-09-16
Picture Bride,0,94.0,en,1995-05-05
La Reine Margot,0,162.0,fr,1994-05-13
The Quick and the Dead,32000000,107.0,en,1995-02-09